"","Kecemasan","GM","EmoWLE","AmanWLE","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","MATHMEAN"
"65",2,3,0.0904,-0.756,374.461,338.779,331.968,336.222,370.035,359.448,342.944,369.221,319.439,324.641,346.7158
"66",1,3,-0.2343,-0.756,296.391,295.908,302.398,282.598,293.647,335.369,249.177,276.331,279.777,259.468,287.1064
"67",2,3,-0.431,0.6942,406.926,397.743,379.454,422.824,372.831,414.543,418.633,403.875,386.322,380.011,398.3162
"68",3,2,-0.2261,-1.1042,394.451,366.6,434.371,405.274,408.22,405.739,396.254,389.177,397.046,395.798,399.293
"70",2,3,0.7296,1.1246,263.81,299.523,293.128,292.841,310.69,351.067,288.328,301.004,270.88,313.142,298.4413
"71",2,1,0.8632,1.1246,255.296,257.636,271.869,290.687,304.368,264.203,282.469,264.791,252.889,252.426,269.6634
"72",3,2,0.1494,-0.756,473.514,479.909,484.484,457.386,461.582,477.989,460.25,451.235,452.675,456.771,465.5795
"74",1,3,-0.183,1.1246,296.36,292.673,284.603,264.952,351.894,265.614,301.296,272.053,295.732,274.438,289.9615
"77",2,1,-2.7112,0.6942,522.124,487.313,510.41,500.368,510.061,554.081,493.06,498.598,535.991,504.113,511.6119
"78",1,1,-0.3335,-0.039,353.203,358.764,374.205,393.72,336.508,314.294,361.623,369.812,394.963,343.182,360.0274
"79",3,2,0.0804,-2.0413,416.347,436.029,479.707,445.264,430.883,406.214,427.292,411.787,433.564,416.194,430.3281
"80",2,4,-0.6691,-1.6365,455.723,464.176,450.907,421.5,462.277,449.379,440.181,431.279,483.205,420.997,447.9624
"81",2,3,-0.0396,0.1271,326.544,340.785,346.8,325.352,347.384,372.758,355.256,371.814,322.835,378.12,348.7648
"82",1,1,-0.7787,-1.306,460.716,474.532,546.41,506.221,465.178,477.291,487.293,496.408,491.725,484.791,489.0565
"83",1,2,0.4371,-0.756,464.955,465.635,459.448,447.121,444.265,466.559,436.587,479.295,496.082,464.448,462.4395
"86",2,2,0.3773,-0.0918,419.98,381.012,333.321,341.142,426.232,381.678,394.988,360.307,380.514,360.019,377.9193
"89",2,3,0.855,1.1246,398.109,415.182,407.125,379.813,415.067,397.12,379.486,413.781,417.273,424.133,404.7089
"90",2,3,0.0197,-0.039,404.977,372.39,401.578,379.728,373.716,364.861,339.478,335.882,371.136,359.997,370.3743
"94",2,3,-0.5987,1.1246,307.722,336.244,286.477,286.685,311.091,267.035,246.451,296.244,333.235,304.127,297.5311
"96",1,4,-2.3572,1.1246,325.554,341.957,333.893,358.932,336.852,332.858,349.891,358.056,389.33,370.363,349.7686
"99",2,3,-0.5929,-0.756,301.624,316.661,240.222,289.029,292.349,288.154,269.829,300.875,257.103,299.152,285.4998
"101",1,2,-1.8245,-0.0918,427.931,421.123,473.995,432.003,447.063,475.4,442.352,425.515,468.32,406.109,441.9811
"102",2,4,-0.126,-1.1042,364.318,366.539,374.598,357.847,367.883,361.69,381.113,348.433,415.684,367.327,370.5432
"103",2,3,-0.6674,-0.756,371.418,364.154,383.148,334.023,330.329,304.912,344.586,364.49,378.455,336.184,351.1699
"104",3,1,0.5644,-0.0323,412.845,423.272,443.201,415.291,445.617,434.761,377.547,409.765,450.817,485.855,429.8971
"107",1,1,1.5375,-0.756,310.148,271.342,280.101,287.636,317.841,310.259,307.403,296.681,271.98,276.437,292.9828
"108",3,3,-0.1637,-1.1042,295.655,315.291,333.467,355.817,288.004,308.356,342.16,332.975,349.183,305.016,322.5924
"109",1,2,-1.1767,0.4014,388.067,326.394,411.078,411.835,393.862,403.569,388.955,391.349,374.117,377.311,386.6537
"110",1,2,-1.1872,-0.756,412.806,423.388,389.629,431.436,443.778,405.953,406.801,397.381,420.462,447.939,417.9573
"111",1,3,-1.0401,0.0518,425.448,348.187,395.592,424.319,385.477,457.038,413.345,393.358,381.882,432.15,405.6796
"112",1,3,0.0481,-1.8609,268.018,276.9,283.305,294.609,266.078,275.671,288.055,255.647,277.742,318.928,280.4953
"113",2,4,-1.1912,0.4417,348.247,338.815,360.334,338.996,376.724,358.797,353.06,393.301,366.793,360.541,359.5608
"114",2,3,-0.2044,1.1246,348.065,299.896,332.092,293.131,320.086,290.076,318.796,348.581,311.397,278.702,314.0822
"115",4,3,-0.0619,1.1246,304.454,366.781,350.958,304.23,298.823,270.954,274.829,293.67,311.85,320.724,309.7273
"117",1,3,-0.0842,-0.756,496.641,512.997,516.434,502.253,545.771,497.934,502.346,510.113,530.927,499.531,511.4947
"118",2,3,-0.1417,-1.15,461.687,541.057,519.315,506.714,482.604,492.005,496.209,485.053,548.16,513.209,504.6013
"119",2,3,-0.4221,-1.4526,339.524,341.87,355.653,344.182,342.577,341.337,347.062,338.107,341.056,350.191,344.1559
"120",1,4,-1.2418,1.1246,434.736,371.373,357.146,381.952,355.923,385.078,391.17,367.739,395.613,363.353,380.4083
"121",1,3,-0.6196,-0.756,371.531,392.66,405.993,341.123,370.642,369.496,381.482,326.095,347.595,359.253,366.587
"123",2,1,-0.921,-0.756,449.951,487.233,436.118,424.828,477.488,473.837,415.174,436.177,475.843,423.046,449.9695
"124",3,2,-0.2058,-1.9603,349.708,385.63,379.279,374.2,352.627,352.591,370.204,345.823,393.742,359.225,366.3029
"125",2,3,-0.6363,-0.756,335.947,289.317,342.368,324.853,343.815,352.95,309.752,330.936,316.274,305.866,325.2078
"126",1,3,0.3542,-0.756,334.961,293.692,349.523,330.742,337.654,360.559,307.019,357.926,318.008,333.947,332.4031
"127",2,3,-0.2443,-0.0918,459.779,462.745,443.008,458.248,473.29,469.434,455.352,506.266,482.469,427.006,463.7597
"131",2,2,0.5487,-0.0918,363.95,376.282,383.716,357.367,310.93,399.3,389.518,345.849,369.069,365.22,366.1201
"133",1,2,-0.7178,-0.756,379.595,343.685,368.227,386.908,382.081,376.712,391.765,373.479,374.878,364.274,374.1604
"136",1,2,-0.5732,-0.756,554.036,560.775,604.867,517.355,519.712,578.899,598.187,559.362,561.893,546.704,560.179
"137",2,2,-0.2535,-0.756,380.913,418.397,427.935,402.041,419.225,451.882,460.377,419.753,396.183,419.456,419.6162
"138",2,3,0.1638,-0.756,341.036,359.214,338.024,382.775,380.676,366.879,378.264,345.488,375.181,347.629,361.5166
"141",1,3,-0.4538,1.1246,337.813,339.898,277.868,285.283,336.807,348.866,333.797,331.158,292.337,287.494,317.1321
"143",2,2,0.4876,-0.756,480.27,470.339,534.342,483.609,489.54,486.582,480.115,517.19,496.654,488.086,492.6727
"144",2,1,0.5399,1.1246,379.079,298.906,348.291,357.063,370.829,336.481,365.534,348.912,313.245,340.474,345.8814
"145",2,4,-0.2873,-0.756,429.414,413.123,464.264,467.256,451.896,458.956,427.016,415.4,444.898,448.163,442.0386
"146",2,3,-0.4248,1.1246,378.49,332.004,348.059,388.937,343.517,359.387,343.501,320.282,363.075,371.53,354.8782
"147",2,2,-0.2497,-0.756,463.061,468.561,450.959,486.932,439.628,465.823,476.949,460.457,485.362,470.128,466.786
"148",2,3,0.3665,-0.756,335.061,365.692,379.952,371.848,349.118,382.844,354.854,387.228,362.715,341.381,363.0693
"149",2,2,0.7244,-0.756,495.846,514.869,476.455,495.243,436.387,490.681,494.54,426.04,513.384,499.264,484.2709
"152",2,1,0.2745,0.6942,464.469,466.845,465.832,479.955,526.849,439.142,477.512,448.875,464.144,511.227,474.485
"153",3,3,-0.77,0.4417,442.839,359.33,370.805,365.364,370.691,397.223,400.124,357.547,408.033,412.403,388.4359
"154",2,2,0.3762,-0.756,428.014,391.287,378.988,415.778,386.327,378.219,395.654,390.375,386.692,383.058,393.4392
"155",2,3,-0.2462,1.1246,376.163,341.251,365.383,385.113,391.07,385.441,369.207,325.551,362.373,391.984,369.3536
"157",2,2,-2.0695,-1.306,498.313,353.608,510.948,452.773,451.853,444.359,436.883,436.862,463.444,437.141,448.6184
"159",1,3,-0.0665,1.1246,308.709,303.636,294.892,304.721,285.611,278.691,279.658,258.418,250.746,347.819,291.2901
"160",1,3,0.3305,0.1798,430.871,436.787,444.095,404.064,490.77,417.934,402.099,417.095,440.923,374.841,425.9479
"161",2,3,-0.2225,-0.756,417.02,441.012,424.665,402.21,425.341,433.304,446.797,396.616,399.301,400.062,418.6328
"162",2,3,-0.1521,-0.756,373.75,339.169,355.836,388.162,386.76,386.221,371.177,364.507,367.623,340.696,367.3901
"164",2,2,-0.441,-0.756,457.612,449.277,465.524,468.991,452.864,421.337,462.7,480.155,443.706,471.243,457.3409
"165",2,2,-0.2114,-0.756,441.667,382.429,447.577,426.173,409.152,417.907,369.78,415.753,428.857,407.532,414.6827
"166",2,3,-0.0639,-1.1042,400.632,394.796,378.03,404.487,392.418,442.415,444.118,382.021,397.208,432.622,406.8747
"167",3,3,0.3377,-0.756,268.322,273.869,301.958,241.336,259.773,269.91,277.565,256.706,312.019,244.663,270.6121
"168",2,1,-0.732,-0.756,491.671,522.598,511.546,483.742,507.453,515.078,549.487,561.746,559.959,536.644,523.9924
"169",4,4,0.6931,1.1246,288.11,307.752,336.91,274.03,326.705,298.376,343.566,296.76,301.826,348.305,312.234
"170",2,3,-0.3883,-1.6613,388.746,382.39,396.508,384.513,372.529,364.851,391.832,361.559,391.115,351.544,378.5587
"172",2,3,-0.3628,-0.756,455.275,409.388,463.448,466.7,440.1,438.127,464.863,455.114,451.997,428.624,447.3636
"173",2,2,0.5468,-0.756,359.048,327.802,313.81,292.452,317.359,299.758,365.708,326.106,303.403,343.653,324.9099
"174",4,2,-0.516,-1.1042,323.681,307.63,324.554,338.999,359.576,344.22,366.535,332.848,328.07,357.519,338.3632
"175",3,2,-0.7135,-1.5326,418.055,368.395,410.78,364.472,437.338,398.026,433.318,379.635,438.949,409.466,405.8434
"176",2,2,-0.3591,-0.756,456.99,427.592,386.289,410.378,448.776,407.78,432.091,431.887,434.956,403.601,424.034
"178",2,2,0.169,-0.756,396.642,413.812,421.786,423.892,436.812,407.753,450.841,422.24,390.75,408.209,417.2737
"179",3,3,0.0015,-0.756,354.249,353.512,320.096,347.373,342.013,359.147,384.11,360.359,345.453,368.38,353.4692
"181",3,2,-0.3613,-0.756,428.506,438.228,425.556,412.2,428.367,383.884,414.51,399.569,385.898,427.285,414.4003
"182",2,3,-0.7915,-0.756,363.266,406.305,392.085,434.029,377.365,423.591,361.338,377.924,365.091,405.906,390.69
"184",2,1,-1.2987,0.4417,410.067,392.002,377.267,354.269,367.552,390.202,360.026,377.273,405.914,376.322,381.0894
"185",2,3,-0.4895,-0.756,356.922,386.468,406.915,397.799,399.803,413.843,374.483,418.448,405.509,419.402,397.9592
"186",2,2,-0.6715,-0.756,408.027,419.26,450.713,409.543,438.481,390.932,431.746,416.267,436.01,419.223,422.0202
"187",2,3,-0.4008,-0.756,325.668,350.712,372.323,309.223,330.65,375.376,322.721,360.691,333.987,368.132,344.9483
"188",2,3,0.1736,-0.756,432.577,431.378,410.472,433.957,446.308,421.166,406.785,416.351,419.804,436.295,425.5093
"189",3,2,0.0042,1.1246,248.247,372.217,320.329,352.026,334.202,357.023,346.306,365.289,337.659,328.979,336.2277
"191",2,1,0.6669,-0.0918,375.3,376.901,325.322,336.906,319.05,297.884,339.421,347.716,321.574,394.52,343.4594
"192",2,3,0.6868,-1.15,326.127,312.335,319.651,345.807,331.723,287.855,334.013,314.455,343.971,315.582,323.1519
"193",1,2,0.3108,-1.2684,471.298,466.56,495.811,466.399,492.412,495.613,476.925,425.973,451.929,495.772,473.8692
"194",2,3,0.7244,-0.756,356.819,384.387,375.075,381.024,387.469,408.234,380.007,409.922,363.431,346.787,379.3155
"195",1,2,2.8922,-1.15,412.775,364.797,375.206,389.776,354.115,377.123,413.646,367.563,397.551,404.129,385.6681
"199",2,3,-0.0663,0.6342,307.903,230.051,295.616,289.812,307.446,254.369,292.106,330.926,286.177,328.032,292.2438
"200",3,3,0.2271,-0.756,371.101,346.969,385.472,358.351,370.768,352.495,315.446,359.585,324.395,328.563,351.3145
"201",3,2,0.7752,1.1246,526.646,553.626,527.135,534.795,536.107,524.824,488.213,540.091,517.168,574.676,532.3281
"202",1,4,-2.5507,-1.16,435.182,440.546,405.032,402.588,444.612,427.463,391.514,436.216,399.793,440.186,422.3132
"203",2,3,0.5647,-0.756,405.395,406.662,398.242,399.433,416.809,424.705,406.749,406.224,394.716,420.151,407.9086
"204",1,3,-3.2624,-1.1042,442.811,453.063,446.135,393.938,449.761,433.771,441.049,397.819,435.564,455.971,434.9882
"205",4,1,0.3,-1.2589,305.494,310.557,303.288,347.78,334.759,310.737,330.605,313.966,324.458,339.77,322.1414
"206",1,2,-0.3541,1.1246,437.584,410.408,434.368,419.683,399.863,439.548,475.329,422.174,392.517,449.435,428.0909
"207",1,1,0.0412,-0.0918,358.977,371.496,320.634,410.874,432.631,371.755,418.203,339.35,340.273,376.023,374.0216
"209",1,3,-1.7711,-0.756,480.169,513.382,498.042,510.265,495.699,507.172,486.605,502.718,524.894,506.846,502.5792
"210",2,3,-0.4203,-0.756,350.063,367.487,409.551,406.528,370.374,370.239,405.821,380.277,388.251,386.797,383.5388
"211",3,2,0.4069,1.1246,475.075,463.455,454.929,474.447,485.16,443.926,476.444,450.291,499.933,496.002,471.9662
"212",1,4,-0.6998,-0.756,301.369,259.76,347.276,325.093,264.02,306.032,281.861,251.492,251.962,311.856,290.0721
"213",2,3,-0.8367,0.1798,360.375,364.726,336.295,292.504,338.305,390.357,355.735,342.074,368.094,388.379,353.6844
"214",4,4,-0.6886,0.4836,413.72,415.265,470.63,407.121,457.523,421.68,428.434,402.897,475.315,442.735,433.532
"218",2,3,0.7101,-1.7615,330.622,326.014,341.09,361.603,360.556,282.536,315.311,325.295,327.124,353.795,332.3946
"219",3,3,-0.1996,-0.756,391.413,413.079,432.635,389.422,400.071,463.713,398.842,411.074,393.296,408.268,410.1813
"220",2,1,-2.4305,0.4417,471.9,464.435,476.468,515.458,462.644,447.539,476.454,487.112,489.959,448.283,474.0252
"221",2,2,-0.1127,-0.756,538.954,482.716,493.246,475.995,450.463,455.472,456.45,478.456,496.696,496.467,482.4915
"222",2,2,0.073,-0.756,381.036,438.998,374.788,384.598,405.599,428.176,445.1,404.457,425.68,405.254,409.3686
"224",1,3,-0.3315,0.4836,367.766,393.626,406.197,438.174,388.904,360.601,356.547,408.365,357.921,390.431,386.8532
"225",2,2,0.1942,-0.756,366.992,328.647,352.294,359.918,348.45,320.412,323.899,356.292,343.495,339.551,343.995
"226",2,2,-0.2401,-0.756,320.334,315.72,301.585,314.765,349.415,342.783,335.777,317.746,310.487,346.938,325.555
"230",2,3,0.4729,0.4836,433.52,385.058,406.182,384.061,423.482,408.371,431.336,384.464,396.909,413.549,406.6932
"231",2,3,-0.1688,-0.756,342.431,359.421,355.464,372.46,343.126,386.197,363.432,383.124,402.145,371.355,367.9155
"232",1,2,-0.7097,-0.0918,449.313,459.652,483.665,467.782,465.828,425.888,460.136,446.439,457.913,451.934,456.855
"234",2,3,-0.7851,-1.3019,289.617,317.327,325.522,314.804,290.997,329.281,288.544,316.328,289.486,295.636,305.7542
"236",2,3,-0.6343,-0.756,390.77,422.902,396.531,426.846,399.751,412.1,355.327,391.717,388.847,372.945,395.7736
"237",2,3,-0.2481,0.2485,316.836,299.195,289.673,286.379,371.152,367.6,295.845,306.817,317.943,301.186,315.2626
"239",2,3,-0.2631,-0.756,272.353,293.374,252.554,276.745,298.404,271.496,295.771,317.696,266.78,301.195,284.6368
"241",1,3,-0.7879,0.4417,456.995,448.948,522.437,451.196,459.221,440.506,486.107,467.76,503.715,478.529,471.5414
"242",2,2,-1.2552,0.4417,566.349,526.425,567.271,556.339,578.729,509.831,518.59,561.237,552.642,537.502,547.4915
"243",2,2,-0.721,-0.039,522.624,503.7,487.749,512.727,464.18,506.145,518.819,521.356,545.338,505.989,508.8627
"245",2,3,0.6158,-1.1042,335.266,329.268,325.846,357.681,301.443,331.539,298.95,316.836,255.645,326.31,317.8784
"246",1,3,-0.0749,-1.15,234.629,251.966,231.921,266.078,248.919,290.875,250.002,279.412,200.662,284.263,253.8727
"247",2,4,-1.412,-1.5644,411.027,414.436,393.79,390.745,395.304,430.772,419.192,400.891,412.993,426.411,409.5561
"248",2,3,0.2077,-0.756,342.191,362.861,309.109,362.527,321.285,381.657,374.075,401.801,320.323,350.401,352.623
"249",3,3,-0.5297,-0.756,302.763,315.736,287.3,293.068,261.112,299.886,293.386,266.353,289.462,233.003,284.2069
"251",4,1,0.2604,0.4836,253.989,288.344,341.118,275.78,259.14,296.569,315.043,286.877,228.998,274.807,282.0665
"253",3,3,0.0836,1.1246,341.428,310.567,333.979,349.885,317.888,345.209,363.311,340.376,285.394,344.922,333.2959
"254",2,2,0.0664,-0.756,381.461,366.899,421.672,375.911,405.3,391.968,386.598,372.901,363.706,383.201,384.9617
"256",3,3,-0.3202,-0.756,376.726,329.167,348.55,348.296,329.249,334.582,354.02,329.145,308.715,342.026,340.0476
"257",2,2,-0.0697,1.1246,525.34,504.664,459.477,475.255,497.716,481.309,463.207,509.712,509.623,470.15,489.6453
"258",4,4,3.0429,1.1246,350.554,383.884,361.471,380.925,399.822,398.042,390.113,359.196,396.797,392.535,381.3339
"259",4,4,-0.0446,1.1246,386.245,335.83,355.796,383.195,340.211,377.059,418.186,368.332,411.359,378.701,375.4914
"260",3,2,0.2983,-0.756,399.904,410.853,388.381,404.81,384.443,381.592,418.493,409.449,419.501,378.432,399.5858
"261",4,4,-0.1792,1.1246,488.497,474.073,492.501,441.948,470.027,447.343,494.462,486.638,445.251,487.058,472.7798
"262",3,3,0.2412,-0.756,367.684,306.469,311.817,351.944,305.859,321.638,299.658,330.422,339.965,303.851,323.9307
"263",2,2,0.178,-1.1042,392.229,408.197,394.446,397.454,410.277,362.076,419.292,381.188,361.262,369.906,389.6327
"266",2,3,-0.0032,-1.6365,400.242,436.024,460.568,421.166,438.375,412.144,419.591,451.914,430.306,410.6,428.093
"268",3,2,-0.007,-0.756,302.632,328.177,360.496,314.108,321.304,333.976,338.682,301.236,290.976,366.729,325.8316
"269",1,4,0.206,0.1329,366.687,338.879,297.565,354.587,336.885,339.913,347.383,382.028,347.799,366.897,347.8623
"272",2,3,-0.8465,1.1246,367.53,376.91,408.045,370.864,362.018,381.159,408.452,340.362,365.268,389.615,377.0223
"273",2,3,-0.5709,1.1246,515.218,451.879,455.232,427.44,474.027,498.954,480.621,499.222,460.715,481.224,474.4532
"274",1,4,-2.8882,-1.306,416.162,412.524,431.367,407.331,380.153,445.292,407.932,438.622,383.607,366.896,408.9886
"276",2,4,-0.6427,1.1246,421.994,466.075,428.441,435.273,481.455,422.015,429.996,399.998,511.623,413.533,441.0403
"278",2,3,-0.5175,-0.756,474.396,521.821,510.517,500.838,468.226,502.09,488.712,552.413,457.036,480.762,495.6811
"279",3,2,0.6833,-0.756,303.013,343.718,278.32,332.28,348.034,323.064,299.906,353.851,335.826,326.313,324.4325
"280",3,3,2.1875,0.4836,327.892,252.624,304.896,304.387,333.264,280.939,337.063,299.578,283.381,307.002,303.1026
"281",1,2,0.3727,-0.756,338.425,339.454,332.683,349.022,322.255,253.318,334.183,298.617,318.683,311.553,319.8193
