"","Kecemasan","GM","EmoWLE","AmanWLE","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","MATHMEAN"
"1705",2,3,0.1348,-0.756,324.12,419.724,341.189,374.835,380.371,370.775,321.613,304.871,369.873,340.622,354.7993
"1706",2,3,-0.8321,-0.756,374.965,316.28,377.894,358.269,319.435,320.483,365.375,352.203,341.617,381.565,350.8086
"1707",1,4,-2.1019,-0.756,485.813,438.293,430.897,391.944,460.272,426.389,421.813,448.674,461.455,385.114,435.0664
"1708",2,3,0.8048,-0.756,331.642,332.603,313.889,361.629,343.666,339.812,344.853,331.217,370.353,364.067,343.3731
"1709",4,3,-0.3552,-0.756,355.019,337.345,329.26,292.821,301.312,323.138,312.157,296.139,374.737,312.943,323.4871
"1710",2,3,-0.4732,-1.1042,303.125,302.208,331.696,298.125,323.882,285.963,303.275,359.62,302.312,281.914,309.212
"1712",2,3,0.32,-0.0323,378.593,373.232,368.52,336.32,377.508,346.06,382.031,318.85,393.511,361.848,363.6473
"1716",2,3,0.0586,0.4417,365.894,379.8,331.444,396.572,345.793,337.297,340.071,307.407,372.181,334.994,351.1453
"1717",1,3,-1.0113,-0.756,334.979,373.552,338.637,367.392,375.006,314.759,370.138,340.366,317.079,346.685,347.8593
"1718",1,2,0.3993,-0.039,363.348,351.426,384.971,428.373,378.798,402.175,370,359.923,374.498,361.824,377.5336
"1719",2,2,-0.3097,-0.756,446.809,439.572,438.278,455.668,466.945,471.841,440.594,436.152,439.936,436.985,447.278
"1720",2,2,-1.0264,0.4417,405.442,399.14,354.387,411.514,380.599,367.414,384.874,419.482,406.414,361.898,389.1164
"1722",3,3,0.1058,-0.756,333.411,342.572,351.194,344.511,338.4,337.798,350.136,316.878,308.451,345.459,336.881
"1723",2,3,-0.1156,0.6942,354.325,351.69,373.617,350.952,348.195,383.679,371.009,375.687,347.064,386.92,364.3138
"1724",1,3,-0.3015,-0.756,386.416,430.783,352.505,375.678,431.808,381.985,376.25,368.158,409.877,387.645,390.1105
"1725",1,4,-1.5959,0.6342,499.03,469.824,490.05,476.689,472.485,505.251,518.928,468.144,518.274,512.827,493.1502
"1726",3,2,-0.1158,0.4417,580.466,575.329,540.102,545.812,534.432,525.246,498.375,565.563,522.53,539.856,542.7711
"1727",2,3,-0.6564,0.6942,349.269,360.123,393.304,363.502,409.978,338.446,355.519,340.664,302.478,388.409,360.1692
"1728",2,3,-0.383,1.1246,541.294,557.198,566.106,582.366,532.592,524.621,544.253,529.651,541.609,526.614,544.6304
"1729",1,3,-0.0665,-0.756,307.536,288.99,331.792,340.179,307.653,286.829,311.737,265.095,300.32,263.999,300.413
"1730",2,3,-0.6274,-0.756,357.756,362.388,340.973,324.424,300.06,346.257,376.785,327.107,354.838,301.071,339.1659
"1731",1,2,-0.5879,1.1246,311.212,300.719,318.74,300.006,359.183,392.783,364.775,370.079,375.077,362.945,345.5519
"1732",2,1,2.0503,-1.3894,264.155,244.784,235.739,293.603,273.777,280.608,257.858,252.394,233.415,247.106,258.3439
"1734",3,3,0.475,-0.756,357.101,341.226,363.864,390.269,373.437,301.398,334.517,364.332,351.176,354.001,353.1321
"1736",2,3,-1.246,-1.466,407.888,388.468,388.43,428.783,402.206,382.268,401.324,398.503,385.694,409.014,399.2578
"1737",2,3,-0.6766,-0.756,418.045,399.236,382.807,438.392,418.231,395.731,400.546,414.37,403.222,406.715,407.7295
"1738",4,3,0.3094,-1.15,252.327,228.653,309.712,286.594,246.04,263.603,248.526,257.907,195.483,277.356,256.6201
"1741",2,4,0.6865,-2.7886,359.391,384.454,352.312,366.691,375.472,440.545,415.517,410.468,345.352,382.982,383.3184
"1743",1,3,-1.8418,-0.756,464.161,441.105,424.429,463.988,449.243,504.334,441.172,447.259,447.993,441.174,452.4858
"1744",2,2,0.0931,-0.039,457.893,445.992,439.09,455.692,442.4,447.529,500.753,429.566,460.358,478.012,455.7285
"1746",2,3,-0.2676,0.6342,350.634,359.535,337.797,341.051,360.591,341.467,361.371,322.634,347.743,316.978,343.9801
"1747",2,2,-0.6798,-0.756,341.922,305.727,325.753,335.267,359.563,325.414,352.565,295.956,326.241,329.887,329.8295
"1748",2,3,-0.7193,-0.756,401.395,378.043,378.966,376.072,380.052,382.512,416.021,400.748,381.354,389.8,388.4963
"1749",3,2,0.2166,-0.756,468.987,427.408,449.779,470.392,458.875,474.896,508.733,456.565,488.978,446.203,465.0816
"1750",1,2,-0.3208,1.1246,376.843,359.996,365.112,311.545,325,337.644,371.138,383.768,337.847,374.743,354.3636
"1751",2,2,0.028,-0.756,428.432,378.806,424.746,415.078,425.793,398.574,422.725,392.84,372.353,381.886,404.1233
"1752",2,3,0.4774,-0.756,348.621,354.275,337.358,311.829,364.645,374.55,354.388,296.314,379.387,359.402,348.0769
"1753",2,3,0.3221,-0.756,399.961,361.271,352.002,410.262,373.722,371.731,348.939,398.401,395.593,385.676,379.7558
"1754",1,4,-0.7612,-1.2589,367.636,387.02,383.718,337.117,389.18,369.539,387.655,372.644,350.126,414.2,375.8835
"1755",2,2,-1.2293,-0.756,467.089,466.123,456.616,438.081,413.052,452.964,451.087,433.032,450.642,411.837,444.0523
"1758",2,3,-0.1913,-0.756,308.673,319.413,309.516,273.166,345.716,317.053,351.916,323.109,339.431,298.021,318.6014
"1759",1,2,1.0237,1.1246,345.69,341.997,333.262,351.528,372.608,360.549,346.469,331.703,350.532,309.264,344.3602
"1760",3,2,-0.612,1.1246,273.747,248.899,293.033,202.431,241.476,284.575,293.344,300.365,300.876,249.24,268.7986
"1761",1,1,-1.1871,0.1413,558.793,574.521,544.592,564.814,539.011,558.948,550.402,582.586,543.544,554.836,557.2047
"1762",2,3,-0.3107,-0.756,462.244,471.185,438.146,433.874,472.76,448.235,445.281,449.716,468.187,451.705,454.1333
"1763",3,2,0.4672,-0.756,280.839,307.933,298.162,328.098,309.146,297.442,242.026,324.786,350.051,267.791,300.6274
"1764",2,3,0.7585,-0.756,366.649,370.081,358.977,401.781,349.368,331.627,323.598,325.479,360.66,355.966,354.4186
"1765",2,3,-0.7131,-0.756,369.198,384.399,386.754,355.178,336.728,400.55,395.264,385.293,378.547,398.5,379.0411
"1766",3,2,0.4466,-0.756,380.82,401.878,370.881,333.266,367.264,372.743,362.478,411.848,380.627,377.139,375.8944
"1767",1,1,0.1326,-1.6115,423.87,418.153,441.828,426.291,437.927,465.29,440.373,457.28,446.591,411.66,436.9263
"1770",2,3,-0.3082,-0.756,334.197,314.64,322.921,342.451,325.096,323.356,339.821,288.94,308.133,287.068,318.6623
"1771",2,2,-3.5216,-1.2684,531.796,511.342,539.646,504.367,499.538,533.07,515.659,512.271,563.634,510.907,522.223
"1772",2,2,-0.4199,-0.756,294.845,340.086,356.969,372.05,372.024,289.446,334.156,389.675,338.78,280.634,336.8665
"1773",2,4,-0.8426,1.1246,347.195,379.371,337.164,343.129,391.759,331.535,379.007,358.38,362.314,383.611,361.3465
"1774",2,4,-0.4303,-0.756,360.182,334.187,357.29,357.677,353.236,346.014,326.313,358.294,359.307,339.333,349.1833
"1775",2,3,0.1356,0.4361,275.96,276.131,308.701,266.182,276.572,263.257,280.286,296.207,263.861,269.333,277.649
"1776",3,2,-0.5127,0.1368,528.409,510.12,546.471,513.363,551.963,547.804,526.668,506.655,562.433,553.08,534.6966
"1778",2,4,-0.6443,-0.756,391.149,417.29,410.724,392.837,411.211,435.971,398.447,399.901,341.328,373.805,397.2663
"1779",4,4,0.7884,0.0877,257.335,287.648,287.497,261.776,274.508,323.176,304.54,308.882,320.377,328.747,295.4486
"1781",2,3,-0.1534,-0.756,459.493,453.148,433.178,452.544,449.013,485.325,457.298,401.862,449.476,436.929,447.8266
"1784",3,2,-0.515,1.1246,409.37,422.591,409.478,383.443,433.252,446.156,448.365,431.845,442.187,437.872,426.4559
"1785",2,4,-0.3759,0.6942,404.629,394.612,362.713,390.976,388.594,393.326,391.36,371.116,387.094,393.916,387.8336
"1786",3,3,-0.2121,-1.4286,340.067,364.906,357.51,356.756,339.788,333.18,350.931,359.208,355.7,347.22,350.5266
"1787",2,2,-0.699,-0.756,364.686,316.495,333.587,399.47,344.118,377.508,336.609,322.582,354.49,331.446,348.0991
"1788",1,3,0.4207,0.1413,355.297,371.967,283.726,333.896,321.992,308.527,328.559,342.706,327.906,299.923,327.4499
"1790",2,3,-0.0416,-0.756,314.988,330.631,325.493,347.946,315.333,375.889,341.714,390.419,372.85,275.221,339.0484
"1791",2,1,-0.303,0.4417,508.287,512.966,524.764,576.453,524.492,545.345,515.035,515.508,512.579,513.032,524.8461
"1792",3,2,0.911,-0.756,300.055,309.122,258.51,276.561,302.291,295.612,323.349,299.036,310.085,276.968,295.1589
"1793",1,4,-0.7231,-0.756,381.739,399.289,359.7,392.474,401.824,347.355,415.156,382.685,375.151,359.913,381.5286
"1794",2,3,-0.384,-0.756,286.761,345.802,355.186,297.989,379.549,311.763,322.329,306.673,344.504,318.819,326.9375
"1795",3,3,0.7089,1.1246,457.883,379.604,445.514,440.307,419.347,474.638,451.374,416.053,418.136,433.076,433.5932
"1797",1,1,-0.2795,-0.039,395.097,440.065,366.663,413.833,383.854,378.102,345.509,425.38,370.869,402.737,392.2109
"1798",1,4,-0.4065,0.2938,335.434,317.716,309.006,307.614,334.012,357.426,314.072,324.176,328.814,337.916,326.6186
"1799",1,4,-0.1129,-0.756,259.034,254.935,295.776,269.583,288.397,290.73,301.167,263.904,228.893,237.7,269.0119
"1800",2,3,-0.1637,-0.756,413.578,401.865,421.563,407.9,417.613,433.111,401.225,423.323,457.098,423.111,420.0387
"1802",2,3,-0.5507,-1.1108,394.792,405.522,397.955,426.738,412.829,424.59,415.714,422.62,430.032,436.887,416.7679
"1803",2,3,0.7478,-0.756,391.248,380.182,416.184,407.831,399.561,448.637,418.204,425.863,427.737,403.013,411.846
"1804",2,2,0.6176,0.4836,467.67,442.347,433.339,443.554,367.438,422.739,388.687,451.448,381.865,389.608,418.8695
"1805",1,2,-0.3025,-0.039,456.255,428.348,434.239,467.275,480.901,472.302,407.814,440.068,405.149,418.284,441.0635
"1806",2,4,1.6647,0.6942,323.657,318.808,351.649,370.609,332.431,295.276,307.83,294.39,302.767,295.902,319.3319
"1807",2,3,-0.5462,-0.756,319.269,323.804,313.059,323.765,300.678,332.37,308.389,257.006,341.743,313.34,313.3423
"1808",2,4,-0.7115,0.4836,292.267,344.993,329.705,338.156,388.618,359.003,347.588,276.566,321.699,331.998,333.0593
"1812",2,3,0.0886,-0.756,422.278,368.965,447.055,447.2,418.458,407.98,380.264,423.523,381.695,413.13,411.0548
"1813",2,3,-0.6056,-0.756,333.436,294.897,359.607,351.649,322.628,340.763,339.535,312.056,350.004,387.027,339.1602
"1815",2,2,0.1483,-0.0918,387.274,366.759,407.288,404.139,378.818,384.159,421.999,413.342,438.615,410.571,401.2964
"1816",1,3,0.0231,-0.756,497.383,436.767,450.906,430.417,505.192,430.291,470.273,505.159,472.215,481.292,467.9895
"1818",2,3,0.0038,-0.756,336.788,317.759,310.045,353.749,324.303,323.532,327.515,369.983,344.755,351.254,335.9683
"1819",2,3,-0.4778,-0.756,411.185,365.771,387.058,387.994,367.363,374.924,356.79,388.481,353.18,358.643,375.1389
"1821",2,3,-0.455,-1.2684,285.18,316.034,275.884,333.117,296.934,275.122,276.197,296.313,310.433,308.428,297.3642
"1824",1,2,-1.1604,-0.756,418.653,425.166,401.23,403.424,421.583,431.941,382.162,436.439,403.085,448.303,417.1986
"1825",2,2,0.1342,1.1246,323.832,282.901,333.644,354.668,311.254,236.76,344.617,344.944,349.097,316.246,319.7963
"1826",2,3,0.1172,-1.1042,292.181,307.454,338.694,389.329,361.709,354.759,349.533,301.131,344.6,301.923,334.1313
"1827",3,3,0.2794,1.1246,320.097,280.504,307.558,243.638,286.7,271.036,308.7,333.237,264.721,279.178,289.5369
"1829",1,2,-1.0685,-0.756,481.983,506.257,496.937,450.283,497.804,471.41,487.822,464.219,494.047,518.382,486.9144
"1830",1,1,-0.018,1.1246,475.59,487.079,492.336,512.121,491.239,467.032,494.15,513.955,481.844,506.148,492.1494
"1831",1,2,-1.1751,-0.756,329.908,303.959,341.069,298.091,298.223,312.996,292.565,311.74,279.44,272.811,304.0802
"1832",1,3,-0.5752,-1.15,297.495,338.328,315.585,338.961,322.748,360,368.707,316.6,336.498,356.159,335.1081
"1834",2,3,0.0722,0.4417,362.018,364.259,381.053,377.803,377.253,328.959,394.549,351.497,346.212,370.218,365.3821
"1835",2,3,0.0636,-0.756,351.765,356.12,393.517,395.874,341.565,281.498,350.494,340.29,366.75,344.417,352.229
"1836",3,2,-0.0409,-0.756,466.847,498.376,524.629,438.997,512.848,461.14,485.455,508.266,481.138,478.785,485.6481
"1837",3,3,-1.9357,-1.1042,359.887,315.202,383.729,380.938,369.781,380.771,352.006,365.87,356.389,342.092,360.6665
"1838",3,2,0.4799,0.0877,481.829,471.464,473.969,496.287,447.908,472.029,465.611,496.839,524.441,468.162,479.8539
"1839",1,3,-1.4766,1.1246,398.273,362.88,354.381,347.209,355.356,312.965,375.816,353.644,348.116,331.153,353.9793
"1840",2,4,-0.8764,-0.756,410.457,448.961,438.604,412.698,437.357,419.624,394.867,431.978,414.766,381.269,419.0581
"1841",1,1,-1.3662,-1.2649,393.331,412.811,439.622,389.893,388.213,387.914,400.126,404.838,445.3,397.867,405.9915
"1844",2,2,0.0032,0.4417,400.67,388.198,405.28,387.08,388.072,423.744,384.986,406.434,409.093,413.745,400.7302
"1846",2,3,-0.5959,-0.756,311.653,341.506,347.362,320.854,326.341,314.229,342.492,378.446,319.51,375.033,337.7426
"1847",4,3,-0.4804,-1.15,343.546,385.16,362.879,364.42,358.664,364.089,377.163,389.617,368.865,337.53,365.1933
"1848",2,2,-0.3989,-1.7615,377.016,347.497,384.459,362.495,363.454,315.274,370.524,361.932,351.663,293.663,352.7977
"1849",2,2,0.4529,-0.756,309.971,270.131,253.058,305.696,301.03,280.091,285.117,316.249,334.226,324.494,298.0063
"1850",2,1,3.1581,-0.756,261.317,344.345,301.043,298.688,314.012,276.818,289.341,299.683,285.195,284.752,295.5194
"1851",2,3,-1.1905,1.1246,278.752,255.725,286.457,281.261,331.39,304.864,265.096,322.418,282.075,261.366,286.9404
"1852",2,3,-0.3136,0.6942,357.226,345.848,322.807,313.365,347.558,356.458,369.381,362.786,343.363,356.177,347.4969
"1853",2,3,-0.3821,0.1368,364.689,395.142,380.745,388.655,370.025,417.744,394.568,411.632,412.761,341.997,387.7958
"1854",2,1,-0.5567,-0.756,369.638,369.992,348.477,361.733,352.245,376.326,342.478,348.789,355.115,303.908,352.8701
"1855",1,2,-0.2915,-0.756,422.435,433.33,391.408,413.754,458.797,400.777,432.956,403.088,440.957,426.142,422.3644
"1857",2,3,0.1143,1.1246,440.947,422.475,432.546,384.682,412.738,418.84,380.359,434.821,389.197,395.229,411.1834
"1859",2,2,-0.2873,-0.756,318.084,305.192,253.072,311.574,280.718,286.135,280.243,335.613,317.996,300.499,298.9126
"1860",2,2,-0.7007,-0.756,338.437,398.39,366.003,355.347,361.29,326.399,367.499,354.286,315.793,349.292,353.2736
"1861",2,3,-0.1141,-1.1042,290.681,301.249,331.966,350.149,340.357,320.165,327.623,314.257,320.062,319.611,321.612
"1862",2,2,0.7433,-0.756,455.183,466.274,437.513,419.684,461.254,477.954,450.04,450.797,444.953,467.464,453.1116
"1863",2,3,0.4129,-0.756,466.218,401.266,422.235,414.792,393.793,419.362,393.1,412.763,434.399,429.485,418.7413
"1864",2,2,0.559,-0.756,358.035,346.112,360.418,389.484,386.896,393.112,345.222,377.262,370.358,359.971,368.687
"1865",2,4,0.4205,0.0877,258.086,303.288,320.703,302.46,317.485,340.177,317.307,323.753,334.576,315.711,313.3546
"1866",3,3,-0.2331,0.4417,327.797,302.727,283.565,324.516,310.998,306.889,299.134,305.418,319.285,340.684,312.1013
"1868",1,3,-0.061,-0.756,319.328,275.971,268.174,279.522,319.956,274.816,333.551,293.486,246.813,327.008,293.8625
"1870",2,3,0.6275,-0.3481,414.746,421.446,403.42,432.891,422.016,443.774,428.361,453.704,414.775,391.556,422.6689
"1871",3,2,0.4965,-0.756,540.352,531.924,562.758,503.885,548.849,532.948,522.18,524.563,535.119,563.434,536.6012
"1874",2,3,-0.5295,-0.756,365.119,355.496,367.629,388.447,390.818,407.986,406.293,367.474,391.332,406.654,384.7248
"1875",2,2,-0.08,0.4417,394.347,374.225,414.21,401.86,374.002,376.815,396.651,406.692,411.419,361.978,391.2199
"1877",2,3,-0.3324,-0.756,361.213,329.963,272.79,311.203,373.532,311.968,333.718,346.683,295.652,313.311,325.0033
"1878",2,2,-0.7195,0.4836,348.189,304.64,313.699,285.191,287.086,312.479,314.663,306.288,322.181,304.502,309.8918
"1880",1,4,-0.0219,-1.529,252.285,310.321,296.053,300.465,313.842,308.371,315.957,266.195,267.969,280.801,291.2259
"1881",1,3,0.6254,-1.4526,336.139,332.742,315.426,364.488,327.544,345.629,348.522,276.952,327.562,326.12,330.1124
"1884",2,3,-0.002,-2.1268,306.051,280.385,341.242,307.401,282.06,299.304,313.126,316.636,375.279,374.797,319.6281
"1885",2,3,-0.2542,-0.039,380.008,375.962,388.349,369.87,409.174,394.533,402.545,392.69,399.021,346.789,385.8941
"1886",3,1,0.2585,1.1246,542.347,556.891,577.652,549.295,535.758,543.56,506.775,528.774,558.209,500.643,539.9904
"1887",3,3,0.0181,-0.756,446.445,409.486,413.432,359.522,403.629,390.572,442.38,454.747,401.363,428.96,415.0536
"1888",2,2,-0.1924,-0.756,420.051,433.983,380.99,394.762,386.016,405.971,447.398,398.016,434.339,412.864,411.439
"1891",3,2,-0.7446,-0.756,453.964,451.972,468.33,457.383,460.108,457.961,453.65,472.984,486.046,465.358,462.7756
"1892",2,3,-0.6162,-0.756,302.093,325.063,355.522,382.247,385.327,358.246,308.104,356.123,320.239,300.958,339.3922
"1893",2,4,0.5984,1.1246,379.06,396.692,352.454,375.205,379.994,372.572,384.4,397.476,383.963,365.865,378.7681
"1894",3,3,-0.6819,-0.756,441.432,437.298,453.128,489.751,443.174,460.785,427.929,456.364,473.667,488.466,457.1994
"1895",1,4,-0.3895,0.6342,381.747,370.447,391.57,354.793,395.354,380.52,368.201,359.193,368.168,371.498,374.1491
"1896",4,3,0.0721,-0.756,309.358,317.787,334.21,305.741,328.427,308.976,346.175,351.468,348.683,327.874,327.8699
"1897",3,2,0.4552,-1.1042,384.091,393.333,389.104,387.379,377.702,421.96,380.881,406.788,364.492,377.99,388.372
"1899",2,3,0.015,-1.1042,462.636,445.711,420.328,396.666,398.881,420.101,420.451,391.401,403.446,418.975,417.8596
"1900",1,4,-0.5793,-0.756,348.851,343.303,338.544,305.969,406.151,301.662,321.063,376.863,360.545,355.026,345.7977
"1902",2,3,0.0797,-0.3481,421.815,413.329,426.513,444.573,442.888,462.201,477.988,460.812,412.932,402.293,436.5344
"1903",3,3,-0.0287,1.1246,295.64,355.227,351.96,335.673,353.059,341.04,333.582,358.49,340.252,311.191,337.6114
"1904",3,3,-0.8524,-0.756,312.011,288.174,356.682,335.405,304.374,308.798,345.583,340.507,313.721,340.111,324.5366
"1906",2,1,0.0581,0.4836,310.441,383.861,348.822,324.522,288.937,307.285,308.987,324.976,269.269,334.305,320.1405
"1907",2,3,-1.0893,1.1246,329.379,393.596,370.125,334.5,327.911,397.36,371.999,345.118,377.875,363.607,361.147
"1908",2,3,-0.2813,-0.756,363.031,324.73,351.655,304.801,315.684,362.029,322.128,351.927,339.938,365.992,340.1915
"1910",3,2,-0.3178,-1.1042,389.775,447.18,412.713,413.851,370.675,414.336,403.002,439.538,400.349,432.307,412.3726
"1911",3,3,0.5155,-1.2589,371.082,351.169,386.921,350.244,387.863,394.816,396.452,341.543,408.097,405.413,379.36
"1913",2,3,-0.9315,-2.7886,326.697,332.804,301.427,338.031,303.188,361.729,310.087,352.715,320.608,304.026,325.1312
"1914",2,4,-1.1204,1.1246,431.805,382.542,438.235,418.715,448.288,423.928,433.886,402.907,390.532,444.709,421.5547
"1915",2,3,-0.8781,0.6942,364.791,332.24,335.628,419.233,377.611,358.091,318.532,417.024,421.669,344.29,368.9109
"1916",1,3,-0.7474,1.1246,326.191,325.708,293.731,325.646,312.074,353.929,336.453,365.887,356.288,342.718,333.8625
"1917",1,1,-0.5242,-1.0927,451.246,438.718,450.11,471.813,435.724,425.577,458.435,408.995,464.512,422.874,442.8004
"1918",2,3,-0.7656,-0.756,328.427,348.029,333.018,309.902,359.677,358.908,349.581,334.442,287.224,347.056,335.6264
"1919",2,2,0.649,-0.756,478.425,485.275,476.363,462.59,449.342,476.631,488.249,465.514,495.127,483.13,476.0646
"1920",2,3,-0.6936,-1.1042,391.096,351.689,303.23,334.292,357.249,291.309,378.29,319.452,354.321,385.373,346.6301
"1922",1,4,-0.2009,1.1246,403.729,413.094,430.469,430.908,436.342,464.343,421.672,413.565,456.531,442.031,431.2684
"1925",2,2,-0.8846,-0.756,431.495,443.561,410.033,389.894,403.26,417.786,430.809,427.838,413.873,460.102,422.8651
"1926",3,2,-0.1174,-0.756,470.705,478.476,437.272,462.158,458.584,447.198,452.754,460.288,453.649,486.822,460.7906
"1928",2,3,0.0127,-1.1042,415.237,378.261,381.97,423.194,354.87,347.604,346.97,405.335,401.293,368.588,382.3322
"1929",2,3,-0.808,-1.561,348.899,335.051,324.482,350.16,282.028,322.085,347.774,326.779,361.724,385.804,338.4786
"1930",2,3,-0.0743,-0.756,410.447,378.54,389.749,414.85,405.213,406.749,364.444,406.72,365.375,376.157,391.8244
"1932",4,2,0.2182,-0.756,486.438,529.61,551.807,550.131,519.652,604.09,577.934,551.292,564.895,552.325,548.8174
"1933",2,4,-0.2204,0.6942,334.209,380.354,349.238,321.419,315.701,297.818,343.006,338.857,304.57,327.094,331.2266
"1934",2,4,-0.601,-0.756,404.357,363.051,362.887,358.032,412.599,385.968,402.548,369.609,403.234,365.777,382.8062
"1935",1,3,-0.1532,-0.756,284.413,304.395,309.232,338.545,317.836,328.506,258.398,366.862,340.479,320.17,316.8836
"1936",2,3,-0.0434,0.6942,361.4,350.196,344.798,342.926,363.048,353.51,365.379,346.914,350.312,335.607,351.409
"1937",2,4,-0.5117,0.4836,335.603,337.438,339.823,292.014,335.095,301.353,294.424,300.308,317.643,354.615,320.8316
"1939",2,2,-0.2777,-0.756,491.236,492.082,491.505,495.223,497.214,503.324,466.383,488.193,517.914,492.461,493.5535
"1940",2,2,-0.0225,-0.756,440.895,386.364,444.633,438.994,440.372,448.278,481.145,418.585,480.724,414.553,439.4543
"1942",3,3,-0.6251,-1.7615,252.247,280.905,295.662,301.654,275.925,298.133,289.103,276.153,264.955,279.889,281.4626
"1943",2,3,-0.262,-0.756,356.517,361.35,302.246,338.738,359.182,353.744,349.337,404.381,384.544,367.947,357.7986
"1944",2,3,0.2925,-0.756,386.805,345.517,413.709,423.805,357.711,360.26,357.148,365.74,375.823,374.781,376.1299
"1945",3,2,-0.1665,-0.756,481.687,479.44,457.955,465.408,449.214,472.044,472.677,483.067,492.734,494.403,474.8629
"1946",2,3,-0.0619,-0.756,392.351,438.292,408.633,381.455,424.056,353.535,398.687,390.938,349.507,393.193,393.0647
"1947",1,3,0.0314,-1.3894,418.359,408.15,451.388,466.83,419.905,433.914,431.768,416.941,441.649,422.248,431.1152
"1948",2,3,-0.0844,-0.756,344.496,297.21,344.705,342.789,307.368,390.876,344.399,351.846,349.561,365.221,343.8471
"1949",3,1,-0.1196,-0.756,383.834,406.728,426.935,406.378,423.876,392.83,416.386,425.655,398.869,405.725,408.7216
"1950",2,4,-1.4062,-0.756,370.538,389.014,404.871,418.016,387.85,428.772,421.772,421.585,374.845,395.802,401.3065
"1951",2,3,0.3192,-0.756,448.736,395.691,429.54,439.966,465.027,450.402,416.936,457.269,470.962,437.482,441.2011
"1952",2,3,-0.8321,-0.756,421.905,428.952,459.173,406.589,429.687,438.814,442.733,401.62,440.934,430.056,430.0463
"1953",1,4,-1.7306,-0.756,400.957,394.496,361.941,349.351,362.726,386.282,383.881,359.117,338.319,341.276,367.8346
"1954",2,3,-0.1842,-0.0918,379.24,395.885,417.61,400.038,390.53,391.796,404.118,352.408,415.805,417.339,396.4769
"1955",1,2,-0.1186,-0.756,391.653,323.946,432.611,329.504,348.357,375.148,371.294,352.166,360.007,357.304,364.199
"1957",2,3,-0.1855,-0.756,383.933,290.224,303.909,344.853,342.771,395.807,340.665,382.777,385.135,351.463,352.1537
"1958",4,1,0.6261,-0.0918,376.343,339.991,313.35,370.859,372.099,369.579,327.263,329.571,369.044,348.452,351.6551
"1959",1,3,-0.9398,0.4836,400.237,418.11,440.637,359.3,405.707,403.128,371.815,395.355,397.739,393.682,398.571
"1960",2,3,0.8529,1.1246,334.023,326.634,318.163,345.661,350.255,316.382,356.54,310.779,340.056,371.847,337.034
"1961",2,2,1.0227,0.1413,370.916,336.086,333.9,347.218,363.251,311.977,363.01,368.464,375.423,363.681,353.3926
"1962",2,3,-0.4661,-0.756,323.223,325.671,343.19,360.812,344.577,331.971,357.154,372.844,330.747,349.919,344.0108
"1963",3,3,-0.0572,-0.756,358.465,364.059,324.592,347.346,331.209,335.931,333.723,363.849,328.96,353.048,344.1182
"1964",4,1,-0.1805,-0.756,291.429,342.309,298.815,285.291,334.599,254.428,295.156,289.294,293.313,350.719,303.5353
"1966",1,3,-0.1642,0.4417,399.442,471.86,451.313,448.756,419.661,474.64,447.953,443.42,418.885,450.066,442.5996
"1969",1,3,-0.6198,0.2485,343.53,383.66,314.532,332.103,288.494,329.637,271.969,296.908,333.01,344.481,323.8324
"1971",1,3,0.0561,-0.756,300.365,316.579,357.639,287.88,351.553,300.721,330.457,345.724,282.822,328.726,320.2466
"1972",3,3,0.1826,0.1368,370.411,383.711,400.157,333.441,385.306,353.33,376.981,408.13,389.694,328.642,372.9803
"1973",4,2,-0.0819,-0.756,397.396,357.365,324.281,364.271,375.975,333.239,382.341,343.299,329.783,366.024,357.3974
"1974",2,2,1.2887,1.1246,457.272,481.945,412.277,439.399,474.88,501.794,488.901,468.672,497.207,486.828,470.9175
"1975",2,3,-0.8355,1.1246,355.893,361.865,420.351,404.284,404.125,401.95,402.221,384.959,388.373,417.482,394.1503
"1976",2,3,0.2837,1.1246,384.392,358.21,384.377,347.805,359.529,356.7,343.896,393.305,413.938,332.352,367.4504
"1977",2,3,-0.1907,1.1246,373.127,400.398,364.545,413.411,408.266,369.711,407.553,352.619,372.557,385.78,384.7967
"1980",3,2,0.2458,-0.756,286.494,322.638,332.007,316.39,289.445,358.561,331.34,323.118,315.173,352.295,322.7461
"1981",4,4,-0.8219,0.4417,428.874,398.039,394.509,403.368,376.5,430.991,446.807,439.382,430.943,432.578,418.1991
"1983",2,3,-0.5297,-0.756,398.656,413.031,407.572,412.565,400.117,429.224,407.578,394.426,409.221,392.448,406.4838
"1984",2,3,-0.1434,-0.756,454.343,448.779,501.868,443.86,443.62,503.928,517.575,447.223,474.74,460.853,469.6789
"1985",2,2,-0.0134,-0.756,334.48,369.438,349.587,343.153,309.198,353.299,351.237,367.244,393.321,366.404,353.7361
"1986",2,1,-2.586,1.1246,322.784,356.797,307.465,287.861,318.626,296.464,313.537,317.6,309.354,300.284,313.0772
"1990",2,3,-0.7737,-0.756,402.079,341.169,379.905,351.688,347.148,375.139,355.681,320.32,380.119,372.896,362.6144
"1991",2,2,0.7742,-0.756,378.419,389.336,396.242,388.907,407.84,430.91,367.506,369.103,389.557,360.263,387.8083
"1992",2,3,1.1852,1.1246,560.965,526.21,534.999,494.973,535.566,542.378,573.667,543.461,519.397,537.457,536.9073
