"","GM","EmoWLE","AmanWLE","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","MATHMEAN"
"1",2,-0.1228,-0.756,466.797,411.189,460.512,395.177,435.088,464.12,467.326,458.148,409.745,421.298,438.94
"2",3,-0.7795,-0.756,338.77,323.21,270.185,317.003,293.508,348.143,274.054,325.171,295.914,258.162,304.412
"3",2,0.0192,0.1368,372.805,298.596,406.891,311.776,362.652,332.669,349.106,362.881,310.77,399.422,350.7568
"4",2,0.1038,1.1246,540.361,551.042,508.961,512.092,546.185,565.153,525.542,584.507,501.422,514.488,534.9753
"6",2,-0.4185,-0.756,430.016,414.022,460.447,427.114,426.842,454.152,477.945,420.406,420.722,435.618,436.7284
"7",3,-0.6009,-0.756,268.39,295.231,324.074,281.653,285.829,301.884,295.271,353.486,285.802,260.332,295.1952
"8",1,-0.564,-2.1268,385.838,388.103,371.081,414.415,398.107,378.623,401.331,396.901,336.263,345.022,381.5684
"9",3,1.6409,-0.0974,367.12,388.02,371.829,359.886,347.543,368.824,411.32,386.654,337.306,367.206,370.5708
"10",3,0.0234,-0.756,320.171,281.888,224.058,309.785,247.406,245.513,273.284,249.785,309.66,280.809,274.2359
"11",2,1.0191,-0.756,464.518,425.362,445.937,456.646,469.505,453.148,443.26,464.407,442.473,443.675,450.8931
"13",2,0.3802,-1.1042,380.622,377.504,407.26,348.256,379.777,329.732,380.09,353.153,377.584,371.25,370.5228
"14",4,0.6682,-0.756,395.767,448.804,367.173,416.39,378.941,385.45,408.759,378.911,392.283,392.928,396.5406
"15",2,0.1365,-0.039,543.451,524.078,493.037,550.833,530.385,555.174,537.38,530.436,523.432,527.167,531.5373
"16",1,0.5539,-1.5679,451.145,480.309,466.78,469.737,471.656,449.298,446.037,496.181,492.691,440.183,466.4017
"17",3,0.721,0.6942,339.293,325.686,386.389,362.501,389.822,366,386.035,350.106,355.488,332.004,359.3324
"18",2,-0.3669,-0.756,432.32,424.264,398.977,410.254,432.812,411.115,386.304,414.506,418.451,434.206,416.3209
"19",3,-0.7862,-0.756,279.527,350.225,375.094,316.437,374.744,327.015,334.204,324.203,324.144,324.126,332.9719
"20",3,0.384,-0.756,338.037,336.772,367.358,325.754,310.704,372.182,402.688,348.849,366.006,324.159,349.2509
"21",3,-0.6271,-0.756,334.613,346.863,354.219,356.22,381.568,367.416,386.713,370.034,361.843,372.469,363.1958
"22",3,0.2474,0.4836,277.525,325.264,292.008,302.155,282.934,268.007,284.109,296.228,251.445,252.301,283.1976
"23",2,0.3656,1.1246,416.44,415.007,421.95,382.658,412.878,395.495,382.923,437.287,432.54,429.475,412.6653
"24",3,-0.6702,1.1246,328.876,341.064,324.366,331.674,267.843,356.331,285.705,356.355,324.821,379.317,329.6352
"25",2,-0.4971,-0.756,353.23,368.379,322.167,329.504,343.368,374.553,339.783,365.791,355.099,360.254,351.2128
"26",2,-0.5818,-1.2555,373.872,435.58,391.232,367.327,357.874,421.04,387.487,413.939,365.691,396.341,391.0383
"27",3,0.0893,-0.756,353.982,410.265,425.525,408.453,371.392,386.397,364.54,387.344,413.669,405.495,392.7062
"28",1,0.2031,1.1246,565.784,542.888,605.508,570.698,587.521,544.482,563.026,552.23,567.884,553.427,565.3448
"29",4,-1.3602,-0.756,377.913,400.132,413.902,376.916,405.117,417.067,382.79,378.155,415.47,421.384,398.8846
"30",3,-0.76,-0.756,330.932,245.067,283.794,277.712,281.032,263.022,330.749,275.97,282.903,282.292,285.3473
"31",2,-0.3556,-1.2589,541.344,538.684,603.414,576.978,535.018,544.754,561.407,597.434,571.255,531.967,560.2255
"32",2,0.2089,-0.756,433.194,475.308,430.31,494.385,454.369,509.64,503.833,472.244,490.646,464.869,472.8798
"33",3,0.8022,-0.756,394.416,364.838,428.756,381.905,396.482,414.226,403.099,374.678,387.869,365.516,391.1785
"34",3,0.2188,1.1246,352.506,396.589,327.056,336.048,396.293,350.892,328.646,355.631,357.625,367.131,356.8417
"35",2,-0.1168,-0.756,277.808,357.66,334.602,363.227,293.403,323.471,326.268,347.237,306.249,321.036,325.0961
"36",3,0.2291,1.1246,365.599,360.714,391.147,407.617,402.078,355.422,372.813,384.036,394.641,348.888,378.2955
"37",4,-0.1347,-1.15,366.344,337.149,335.77,423.679,386.196,347.32,308.14,365.329,359.751,353.658,358.3336
"38",3,0.5833,-0.756,354.213,378.254,348.537,390.117,376.026,400.862,383.251,370.986,408.611,359.417,377.0274
