"","Kecemasan","GM","Emosi","Aman","MATHMEAN"
"2722",6,2,-0.7544,-0.756,401.5263
"2723",3,4,-2.9027,-1.306,299.3596
"2729",4,3,-0.9288,-0.756,405.5314
"2731",4,3,-0.4514,-0.756,301.316
"2733",2,3,2.4419,-1.422,377.7846
"2735",3,2,0.9288,-0.0918,296.626
"2737",4,3,-0.966,-0.756,355.1512
"2739",2,4,-0.4633,0.1368,429.3854
"2740",4,3,0.2901,1.1246,357.1243
"2742",5,3,0.5694,-0.756,332.3232
"2744",4,3,-0.7301,-0.756,308.0157
"2745",6,3,0.4654,0.6942,339.01
"2746",4,4,0.783,1.1246,354.7393
"2747",4,3,0.1643,-0.756,395.2758
"2748",4,3,-0.6271,-0.756,310.1344
"2749",2,1,0.3226,1.1246,442.3568
"2750",4,2,-0.3344,-0.0918,321.5446
"2751",4,3,-0.5062,-0.756,256.5598
"2752",5,3,-0.7874,-0.756,349.0002
"2753",4,2,0.5677,0.0936,381.0983
"2754",4,2,-0.1345,-0.756,470.4435
"2755",4,3,-0.6577,1.1246,396.7578
"2756",4,2,0.0917,1.1246,339.0325
"2759",6,3,0.3576,-0.039,391.943
"2765",4,2,-0.6174,-0.756,411.0071
"2768",2,1,0.7029,1.1246,298.6438
"2770",5,2,-0.736,-0.756,369.1835
"2776",5,4,-2.1564,-0.756,381.9344
"2777",4,2,0.0312,-0.756,580.6997
"2779",6,2,0.6868,-0.8891,319.8779
"2780",4,2,-0.6051,-0.756,373.8035
"2781",6,3,0.2244,1.1246,363.1608
"2782",6,3,-0.306,-0.756,393.8587
"2783",3,2,-0.0377,-0.756,386.308
"2786",4,2,-0.1398,-0.756,423.5367
"2787",4,3,-0.2252,-0.756,403.8812
"2788",4,2,-0.2664,-0.756,372.4969
"2792",4,3,-0.1434,-0.039,418.3159
"2794",4,2,-0.474,-1.1042,431.4551
"2795",4,2,-0.2631,-0.756,411.3499
"2796",3,1,0.7375,0.3308,323.861
"2797",6,1,-0.1238,1.1246,389.9805
"2798",4,4,-0.0263,0.4836,330.9964
"2799",4,3,0.8042,-0.756,387.6972
"2800",6,3,-0.4045,-0.756,412.1351
"2801",6,2,0.1561,-1.4526,376.7344
"2803",4,3,0.7242,-1.1042,387.381
"2804",4,3,-0.6447,-0.756,410.174
"2805",5,3,0.2951,-1.5326,432.5288
"2806",4,3,-0.6738,-0.756,398.3119
"2807",4,2,-0.1559,-0.756,365.3543
"2809",8,1,3.2805,-2.7886,407.6878
"2811",4,3,0.2698,-1.1042,382.6637
"2812",4,3,-0.0476,1.1246,468.8099
"2814",4,3,-0.3077,-0.756,348.0592
"2815",6,3,0.5876,-1.2589,322.7935
"2816",6,3,1.6929,1.1246,453.5239
"2818",5,3,0.1788,-1.1042,398.01
"2821",6,1,0.7219,0.4417,463.6522
"2822",2,1,-0.1347,1.1246,327.4013
"2823",5,3,-0.2074,0.6942,396.1216
"2824",4,2,0.7642,0.4417,323.7432
"2825",5,3,-0.2406,-0.756,386.6011
"2826",4,3,-0.2776,-0.756,426.9375
"2827",5,3,0.3723,-0.756,364.1004
"2831",6,3,-0.93,1.1246,452.3842
"2832",4,2,-0.3501,0.3221,462.3578
"2833",4,1,3.1909,1.1246,384.5766
"2836",4,3,0.1723,-0.3481,345.9521
"2837",4,3,1.1002,0.4836,353.3703
"2838",4,2,-1.4312,-0.756,445.2942
"2839",6,4,0.2124,1.1246,315.6289
"2841",5,3,-0.7539,-0.756,370.6261
"2842",6,1,0.6354,-0.756,591.3982
"2846",4,2,0.2913,-0.756,379.0756
"2848",6,2,-0.2997,-0.756,338.2757
"2849",6,2,-0.5142,-0.039,293.7347
"2852",4,3,1.0418,-0.756,322.4275
"2853",5,3,-0.0088,-0.756,307.686
"2855",4,3,-0.6091,-0.756,329.1814
"2856",4,2,-0.6787,-0.756,402.7615
"2859",4,3,-0.0409,-0.756,394.1848
"2861",6,3,-0.9094,1.1246,441.9174
"2863",4,3,0.09,0.6942,417.5037
"2864",4,3,-0.8953,-0.756,254.7747
"2865",4,3,-0.2828,1.1246,341.6695
"2868",8,3,0.4769,1.1246,335.7742
"2871",6,4,0.0403,-0.756,379.5997
"2872",3,3,0.2124,-0.756,313.0929
"2874",4,3,-0.678,-0.0918,433.4401
"2875",2,2,-0.4706,0.4417,364.1718
"2876",4,3,-0.7164,-0.756,350.852
"2878",4,2,-0.0964,-0.756,476.7343
"2879",6,2,0.5504,-0.756,313.3467
"2880",4,3,-1.0924,-1.9603,349.5347
"2882",6,3,4.4427,1.1246,390.3057
"2883",4,2,1.2202,-0.756,561.6104
"2884",4,1,0.0493,-0.756,493.8889
"2885",7,3,0.6306,-0.756,369.0172
"2887",5,3,-0.4907,0.6942,480.2614
"2888",4,1,-0.0415,-0.756,440.2148
"2889",3,2,0.3364,-0.756,357.0508
"2890",2,3,-0.8221,-0.0323,434.42
"2891",5,3,-0.1343,-0.756,346.5784
"2893",5,3,-0.2421,-0.756,319.0305
"2894",4,3,-0.4489,-0.756,329.5818
"2895",3,4,0.0104,-1.4286,435.2791
"2897",4,3,0.5245,1.1246,517.5465
"2898",5,3,-0.9934,1.1246,358.2328
"2899",2,2,-0.0604,-1.2684,340.5177
"2900",6,3,0.0236,1.1246,324.0169
"2901",4,2,0.7125,-1.1042,334.0534
"2903",4,3,0.2947,-0.756,292.9308
"2904",5,2,-0.0911,-1.1042,450.9202
"2906",4,3,-0.5622,-1.2684,312.3218
"2909",5,3,0.2217,-1.1042,322.9418
"2911",4,2,-0.1285,-0.756,393.4388
"2915",2,1,-0.3481,1.1246,474.5014
"2917",4,2,0.8681,-0.756,370.4591
"2924",6,1,1.4569,-1.1042,322.8467
"2926",8,1,-1.713,-0.756,470.9445
"2930",2,4,-0.0283,1.1246,328.7242
"2931",2,3,0.4692,-0.756,371.9866
"2932",5,3,-0.9207,-0.756,414.4773
"2934",5,1,3.1487,1.1246,505.8764
"2935",4,2,-0.4031,0.0877,462.3355
"2936",4,3,0.3598,-0.756,293.9736
"2937",2,4,-2.2796,0.6342,339.4621
"2938",2,2,0.1061,1.1246,357.4807
"2939",4,3,0.0052,-0.756,352.4641
"2940",4,4,-1.2519,-0.756,381.0307
"2942",2,4,-0.543,1.1246,307.1799
"2943",4,2,-0.6852,-0.756,527.9652
"2947",2,3,-3.7411,0.4417,406.1264
"2948",2,3,-1.3566,1.1246,469.8361
"2949",4,3,-0.2819,1.1246,388.2449
"2950",4,3,-0.4228,-1.1042,343.9314
"2953",2,1,-1.9664,1.1246,542.4315
"2955",4,2,-1.7163,0.4836,335.7898
"2956",2,3,-0.8798,0.4836,285.0011
"2958",4,3,0.747,-1.1042,381.6803
"2959",4,3,-0.6707,-0.756,385.2389
"2960",4,3,0.8236,1.1246,352.8167
"2961",4,3,-0.5121,-0.756,370.3145
"2965",4,1,0.493,-0.756,363.9529
"2968",5,3,-0.3905,1.1246,359.3224
"2970",2,3,0.007,-0.756,399.0971
"2971",5,3,-0.0039,-0.756,408.2417
"2973",4,3,-0.5405,-0.756,345.627
"2974",5,3,0.3758,1.1246,299.6814
"2975",5,3,-1.5299,-0.756,360.1138
"2976",4,3,0.0078,-1.1042,390.1262
"2977",5,3,-0.2434,-1.5326,410.4152
"2978",6,2,0.1048,1.1246,459.3486
"2979",2,1,-1.2008,-1.4286,396.8023
"2980",5,2,-0.5616,1.1246,318.9692
"2981",4,3,-0.2075,0.4836,352.4254
"2982",2,1,0.6841,0.4938,362.8359
"2983",2,3,-2.0083,-0.756,321.7269
"2984",4,2,0.8022,1.1246,326.0165
"2986",3,4,-3.2624,1.1246,437.2758
"2988",6,3,0.6337,-0.756,310.1876
"2989",4,2,0.1916,-1.1042,352.1123
"2990",6,3,0.8601,-0.756,350.6909
"2991",5,2,0.3774,-0.756,452.5488
"2994",3,2,-0.5775,1.1246,373.4412
"2995",4,3,-0.5367,-0.756,460.7023
"2996",4,2,0.0862,-0.756,391.8351
"2997",7,3,0.1465,-0.756,377.6675
"2999",4,3,-0.397,-0.039,415.1062
"3001",4,3,-0.2237,-0.756,422.7097
"3004",4,3,-1.6748,-0.756,319.4114
"3006",4,2,-0.4801,-0.039,495.0229
"3009",4,3,-0.6473,0.1413,426.4447
"3012",4,3,-0.6916,-0.756,360.6316
"3013",5,2,0.6277,-0.3481,430.3125
"3014",2,4,0.3305,0.2485,382.1829
"3016",4,2,-0.5298,-0.756,485.8889
"3017",4,3,-0.8762,0.6342,416.5459
"3018",5,3,-0.4415,-0.756,388.2995
"3019",6,3,0.7263,1.1246,351.1827
"3021",6,3,-0.6004,-0.0323,326.0512
"3022",2,4,0.7515,1.1246,467.8979
"3025",8,3,0.0079,0.6342,352.7521
"3026",2,3,0.2796,-0.756,360.8103
"3028",2,4,-2.3757,-1.9603,397.6768
"3033",6,2,-0.7172,1.1246,321.2742
"3034",5,2,0.7117,0.4417,399.4654
"3036",6,3,0.4983,-0.756,452.181
"3038",4,2,-0.0339,-0.756,452.9666
"3042",5,1,-0.1272,0.0251,324.9169
"3043",4,2,-0.3923,-0.756,402.3297
"3044",2,1,-0.2091,0.1329,528.3489
"3045",4,3,0.2197,-1.9603,379.5083
"3046",4,2,-0.0985,1.1246,349.3884
"3049",2,2,-1.9584,-0.756,382.0711
"3051",2,2,2.0459,1.1246,345.6442
"3053",3,3,0.3666,-0.756,380.0233
"3056",4,3,-0.0781,-1.1042,452.3873
"3057",4,3,0.0937,-0.756,419.6951
"3058",4,3,-0.088,-0.756,403.5702
"3059",5,3,0.2876,0.6942,234.3954
"3060",4,4,-0.4498,0.4417,339.2083
"3062",4,3,0.5996,1.1246,256.1022
"3063",4,2,0.3245,-0.756,405.7569
"3064",4,2,-0.2314,-0.756,360.7379
"3065",4,3,-0.591,1.1246,375.4288
"3067",4,2,-0.8961,-0.039,432.9239
"3069",4,3,0.1275,-0.756,409.332
"3070",4,3,0.9235,-0.756,373.8602
"3072",5,1,-0.0515,-0.756,356.4768
"3074",4,3,2.2147,0.4417,343.8735
"3076",4,1,-1.4718,0.4014,423.0919
"3078",4,3,-0.8651,-1.1042,397.0762
"3079",4,2,0.5234,1.1246,393.9417
"3080",4,2,0.3315,-0.756,322.7109
"3081",4,3,0.1909,0.6942,338.8765
"3082",4,3,0.0961,0.4417,371.0683
"3084",3,3,-0.6252,-0.756,403.2081
"3086",5,3,-0.3195,-1.4966,308.6547
"3087",6,3,0.7254,1.1246,420.9409
"3088",2,2,-0.0852,-1.15,337.7864
"3090",8,1,0.493,-0.756,530.059
"3092",4,2,-0.3037,-0.756,466.0901
"3093",4,3,0.0674,-0.756,313.2057
"3094",3,3,0.1199,-0.039,446.4948
"3095",3,2,-0.7635,0.2802,423.9946
"3096",4,4,0.3989,1.1246,344.2374
"3097",4,2,-1.7655,-1.3894,396.4112
"3099",5,1,-0.1082,-0.756,463.081
"3100",2,1,0.3,-0.3481,304.3735
"3101",6,1,0.6641,1.1246,526.2961
"3104",4,3,-0.6901,-0.756,409.9444
"3105",4,1,-0.6197,-0.756,305.0325
"3107",6,2,0.0731,1.1246,355.0563
"3108",4,2,-0.5299,-1.3019,436.205
"3111",6,3,0.1356,-0.756,364.4338
"3113",4,3,0.1027,1.1246,265.6788
"3115",6,1,-0.6818,-0.756,429.4554
"3116",5,3,1.4431,0.4417,398.6332
"3117",4,2,-0.125,-0.756,373.7979
"3118",4,3,0.1681,-0.756,381.0237
"3119",2,2,0.257,-0.756,303.3748
"3120",6,3,0.3213,-1.1042,365.1404
"3121",4,3,-0.1338,-0.756,339.4847
"3123",6,2,-0.0491,-1.5386,307.3389
"3124",4,3,-0.6647,-0.039,288.5161
"3125",3,3,0.1035,-0.756,396.9389
"3126",4,2,-0.7469,-0.756,424.6512
"3129",6,3,-0.3978,-0.756,340.3709
"3130",4,1,-0.7136,1.1246,358.182
"3131",6,3,0.4602,-0.756,344.3951
"3133",3,2,-1.8763,1.1246,452.332
"3134",4,3,-0.5995,-0.756,370.2621
"3135",4,2,0.1638,-0.756,434.2483
"3136",4,3,0.3994,-0.756,305.7414
"3138",4,3,-0.7231,-0.756,360.8773
"3139",4,1,-0.9358,1.1246,404.4509
"3144",5,2,0.0572,-0.756,348.7697
"3145",2,3,-0.0939,-1.3019,443.4299
"3147",4,3,-0.8923,1.1246,394.3298
"3148",4,2,-0.4538,-0.756,474.2186
"3149",5,2,2.7907,-0.756,458.4951
"3150",6,2,0.4788,0.1413,338.4404
"3151",4,2,-0.3984,-0.756,439.8444
"3152",4,2,0.3322,-1.1042,394.393
"3154",3,3,-0.9203,-1.1042,373.2055
"3156",4,3,-0.8533,0.4417,356.3811
"3157",4,2,0.8332,-0.756,400.7299
"3160",6,3,-0.6996,0.2802,337.3162
"3162",4,3,-0.1154,-0.039,407.4923
"3164",4,3,-0.1821,-0.756,355.4192
"3166",6,4,1.2002,1.1246,325.7825
"3169",4,3,-0.0698,-1.1042,392.073
"3170",5,3,0.3542,1.1246,363.3675
"3172",6,3,0.2541,1.1246,355.2436
"3173",4,3,0.2395,-1.1042,333.0184
"3175",4,2,-0.8075,-0.039,497.4454
"3176",4,3,0.0799,-0.756,367.454
"3177",4,2,-0.3012,1.1246,340.5974
"3179",5,2,0.1781,0.4836,373.4043
"3180",5,2,-0.1548,1.1246,384.8216
"3181",4,3,-0.4701,-1.7348,308.6444
"3183",8,3,-0.3552,-0.756,334.4208
"3186",4,3,-0.203,-0.756,381.7017
"3187",3,2,-0.3689,-0.756,437.4399
"3188",2,1,-1.4768,1.1246,470.5592
"3189",5,4,2.7432,-1.1042,331.1604
"3190",4,3,0.5478,-0.756,403.5953
"3191",6,3,-0.1387,-0.756,318.9774
"3192",6,3,-0.7068,-1.1042,353.0863
"3193",4,3,0.1954,1.1246,397.8243
"3194",4,3,0.1681,-0.756,392.6362
"3196",6,3,-0.6363,-0.756,408.6242
"3197",4,2,0.0658,-1.1042,478.8474
"3200",6,4,-0.7997,1.1246,353.9013
"3201",6,2,0.8744,-0.756,382.4104
"3203",4,3,-0.2697,-1.1042,336.4315
"3205",4,1,-2.6366,-0.756,365.7633
"3207",3,4,0.3724,1.1246,329.0989
"3209",3,3,-1.0295,-0.756,437.8977
"3211",4,3,-0.7979,-0.756,394.8068
"3212",4,3,0.3622,-0.756,365.7537
"3213",4,3,-0.4984,1.1246,347.3356
"3215",4,1,-0.2563,1.1246,508.7345
"3217",5,3,0.1878,-0.756,329.1631
"3218",5,2,0.5795,1.1246,424.9147
"3219",5,2,0.4309,1.1246,448.6015
"3220",4,2,-0.1243,-0.756,434.21
"3221",3,3,0.7176,1.1246,305.2075
"3222",2,1,1.0834,-0.756,345.7609
"3223",4,3,-1.2761,1.1246,494.9956
"3224",5,3,-0.2454,1.1246,372.6297
"3225",4,1,0.7016,1.1246,306.2454
"3227",6,2,-0.2828,-0.756,357.8134
"3229",6,1,0.0911,1.1246,469.9139
"3230",8,3,-0.262,-0.756,372.6328
"3232",4,2,0.6207,-0.756,422.4992
"3234",6,3,-0.333,-0.756,354.1588
"3236",4,3,0.1035,-0.039,496.575
"3237",4,3,-0.6883,-0.756,402.8236
"3238",5,4,-0.5953,-2.447,306.4192
"3240",4,3,-0.6405,-0.756,309.8766
"3241",2,1,-0.6642,-1.15,371.9042
"3242",4,3,-0.0134,-0.756,372.4914
"3247",4,2,-0.1407,-0.756,404.1548
"3248",4,1,-0.1011,0.6942,338.426
"3249",8,2,-0.5793,-0.756,376.2298
"3250",6,3,0.4532,1.1246,333.4889
"3252",4,3,-0.2124,-0.756,321.5504
"3255",4,2,0.2042,1.1246,378.0047
"3256",4,3,-2.519,-0.756,377.966
"3257",4,2,-0.5879,-0.756,400.7692
"3259",4,3,-0.052,0.4417,416.2379
"3260",4,3,-0.1556,-0.756,353.1243
"3263",4,3,-0.3396,-1.1042,324.6
"3265",4,3,-0.625,1.1246,339.221
"3266",4,2,0.9632,-0.756,355.6457
"3267",6,3,-0.2004,-0.756,438.268
"3268",6,3,0.0763,-0.756,433.7253
"3270",4,3,-0.1675,-0.756,358.2308
"3271",4,3,-0.0882,-0.756,464.3752
"3272",6,2,0.7212,1.1246,382.3938
"3275",4,4,-0.0919,-0.947,353.6612
"3276",4,3,-1.185,-0.756,372.0426
"3281",5,3,0.2957,-0.756,392.9915
"3284",2,4,-1.1935,1.1246,435.65
"3286",6,2,0.4557,-0.756,382.6194
"3287",4,3,-0.6694,-0.756,443.0338
"3289",5,3,-0.642,1.1246,351.3572
"3290",4,2,-0.4817,1.1246,319.8229
"3292",3,2,-0.6219,1.1246,343.5562
"3293",3,1,-0.6211,1.1246,500.3669
"3295",5,3,-0.4642,0.3221,330.0922
"3298",3,2,-0.6269,-0.756,396.7296
"3299",3,2,0.9042,-0.756,397.0018
"3301",2,2,-0.5822,1.1246,343.7761
"3305",4,2,-0.8703,-0.756,356.3937
"3306",4,2,-0.1189,-0.756,330.9249
"3308",4,2,-0.5316,-1.1042,385.747
"3312",3,2,-0.5139,-1.1042,445.7869
"3313",2,1,1.0759,1.1246,369.7842
"3314",2,1,-0.7475,0.6942,427.0688
"3315",3,3,0.1991,-0.756,337.8402
"3316",4,3,-0.6515,-0.756,399.185
"3317",3,4,-2.5052,0.6942,389.743
"3318",3,1,1.1829,-1.6365,326.6908
"3320",4,2,-0.3244,-0.756,341.7838
"3322",4,2,2.7445,1.1246,363.319
"3323",4,3,0.421,-1.15,312.5725
"3324",4,2,0.5983,-0.756,389.9861
"3325",2,4,-1.1161,-2.7886,367.7591
"3327",5,3,0.7341,-0.756,337.4349
"3328",4,3,0.3411,1.1246,504.1124
"3330",3,3,-0.7239,-0.756,409.2314
"3331",4,3,-0.5354,1.1246,397.9844
"3333",3,3,0.3393,1.1246,347.2903
"3334",4,3,-0.0273,-0.756,449.412
"3336",6,3,0.1264,-0.756,363.3616
"3339",5,2,0.1042,-0.756,453.4206
"3341",4,2,0.3937,-1.1042,439.2024
"3344",4,3,-0.0257,-1.529,408.8842
"3347",4,2,-0.214,0.4417,439.2074
"3349",4,3,-0.4078,-1.1042,413.6403
"3350",4,1,0.0394,0.6342,276.5045
"3352",4,2,0.6744,0.2435,319.188
"3353",5,3,-1.2232,0.4417,322.8648
"3354",4,1,0.6253,-0.756,370.6703
"3356",4,2,-0.0228,-0.756,345.862
"3357",4,3,-1.02,-0.756,348.8077
"3359",4,3,-0.5565,1.1246,314.8842
"3362",6,3,0.3858,-0.039,333.6634
"3364",2,1,2.8297,-0.756,329.2132
"3366",3,2,-0.3372,-1.1042,398.3666
"3367",6,1,1.7061,-0.756,363.2763
"3368",4,1,1.7341,1.1246,357.696
"3371",4,3,-0.5817,-0.756,408.6462
"3373",4,2,-0.5487,-1.3019,467.9021
"3374",8,1,0.0979,1.1246,428.2715
"3375",4,2,0.5505,1.1246,387.8424
"3380",4,3,0.0241,-1.1042,399.2917
"3381",4,3,0.6324,-0.756,306.5339
"3382",4,1,0.0151,-1.0523,342.4353
"3390",4,3,-0.4988,1.1246,404.295
"3391",6,3,1.4217,1.1246,444.0827
"3393",2,3,0.1679,0.6942,381.8192
"3395",4,2,0.5135,0.2435,365.8881
"3396",6,3,-0.8261,-1.0389,403.1424
"3398",4,2,-0.0637,-0.756,368.477
"3399",4,2,-0.4911,1.1246,486.6825
"3403",7,3,-1.5646,0.6942,424.1032
"3404",4,2,-0.0081,-0.756,465.7213
"3405",4,1,-0.7702,0.4014,372.6631
"3407",6,4,-1.625,0.6942,358.7292
"3408",2,1,-1.2877,-0.756,395.2011
"3410",2,4,-0.4913,0.4417,377.894
"3412",4,3,0.256,-0.756,350.1594
"3413",6,4,0.1941,1.1246,407.2632
"3414",4,1,-0.1872,-0.756,324.0014
"3417",4,2,-0.3111,1.1246,420.9531
"3422",5,4,0.3446,-1.3019,510.3178
"3423",4,3,-0.343,0.4836,325.1698
"3425",3,3,-0.7829,-0.756,368.2726
"3426",6,2,-0.5564,0.4836,509.8936
"3428",4,4,-2.1134,-1.5326,384.4875
"3432",4,2,-0.3054,1.1246,414.9042
"3433",4,2,-0.0905,-0.756,489.4281
"3436",2,3,-0.7651,-0.756,466.209
"3437",4,1,-0.4692,-0.756,427.778
"3439",4,2,-1.5607,0.4417,454.6046
"3440",4,2,-0.2522,1.1246,310.5256
"3442",3,3,-1.1152,-0.756,507.1987
"3443",3,3,-0.9867,-0.3481,406.2831
"3444",3,1,0.8878,-1.6365,467.6931
"3445",4,3,0.8242,-0.756,344.0966
"3446",5,3,0.5607,-0.756,455.8831
"3447",5,3,-0.4816,-1.529,242.7691
"3450",3,4,1.4617,-0.756,364.8269
"3451",4,3,-0.0297,-0.756,352.0476
"3452",4,3,-0.1656,-0.756,336.7108
"3453",4,3,-0.0099,1.1246,410.6454
"3455",5,1,-0.0033,1.1246,392.644
"3456",4,2,-0.362,-1.1042,383.2075
"3457",5,1,0.7939,0.6942,348.5337
"3458",6,2,0.9134,-0.039,432.5217
"3461",3,1,0.37,-0.756,582.2332
"3464",4,3,0.2509,0.6942,346.1259
"3466",4,2,-0.6268,-1.15,338.9929
"3467",4,2,-0.2314,-0.756,423.9389
"3470",4,3,0.1213,-1.3019,481.6667
"3471",4,3,0.3003,-0.756,327.0229
"3472",4,3,-0.9067,-0.756,323.1255
"3475",4,3,-0.295,1.1246,446.3852
"3477",6,3,-0.1088,-0.756,350.6639
"3478",4,3,-0.3401,-0.756,347.2198
"3479",5,2,0.0203,0.4417,401.9272
"3480",6,3,-0.002,1.1246,345.2326
"3482",6,3,-0.5343,-0.756,344.3648
"3483",6,3,0.1917,-0.756,330.2098
"3484",4,2,-0.7411,-1.15,369.4261
"3488",5,3,-0.2828,-0.756,391.9826
"3489",4,3,-0.0268,1.1246,400.9257
"3490",2,2,-0.522,0.6942,388.6326
"3491",4,3,-0.5049,-1.1042,345.7411
"3492",5,2,-0.4083,-0.756,377.5746
"3493",4,2,-0.4538,-0.3481,405.1908
"3494",6,4,1.0136,-1.9533,310.0789
"3495",4,3,-0.7354,-0.756,402.6244
"3497",2,3,0.0433,-0.756,382.949
"3498",4,3,0.0381,-0.756,496.9887
"3499",4,3,-0.0955,-0.756,344.7183
"3501",4,3,0.2353,1.1246,377.1771
"3502",6,3,-0.4415,-0.756,346.2637
"3503",4,2,1.2141,-0.756,404.1443
"3504",4,2,-0.6255,1.1246,422.7541
"3506",2,3,-0.5216,1.1246,387.3273
"3507",2,3,0.3428,0.6942,392.4521
"3508",5,3,-0.6576,-1.1042,348.486
"3510",5,3,-0.3308,-0.039,354.2415
"3512",2,3,-0.7193,-0.039,377.0526
"3513",5,4,0.4168,-0.3481,313.1277
"3517",4,1,0.1253,-0.756,360.8088
"3519",4,2,-0.5226,-0.756,463.953
"3522",4,4,-0.4833,-0.756,373.4281
"3523",2,4,0.1204,1.1246,436.6509
"3524",4,4,0.1318,1.1246,412.6012
"3525",5,3,0.2526,-0.756,406.8305
"3526",4,2,-2.8273,-1.2589,430.6053
"3527",4,1,0.0624,0.6942,429.8812
"3528",4,2,-0.0985,-0.756,394.324
"3530",4,3,0.2517,-0.756,340.1638
"3531",4,3,-1.7395,-1.2589,351.6485
"3532",4,2,-0.4089,-1.1042,421.5191
"3534",4,2,-0.4173,-1.1042,436.1213
"3536",2,3,0.9794,1.1246,427.749
"3538",2,1,0.4925,-0.756,248.9862
"3539",2,4,-1.3324,0.6942,415.029
"3544",3,1,-0.7689,0.6942,507.7308
"3545",4,2,-0.374,0.4417,398.2805
"3547",4,3,-0.027,-0.756,368.9968
"3549",4,3,-1.8451,1.1246,318.8588
"3551",4,3,0.3638,-0.756,480.2968
"3552",6,3,0.7892,1.1246,333.8781
"3553",7,1,-0.6061,-1.3894,337.3308
"3557",4,3,-1.026,-0.756,380.776
"3559",2,3,0.9226,-1.529,381.5941
"3560",2,2,-0.1125,0.6942,483.8081
"3562",4,1,0.209,-0.756,294.8243
"3563",2,2,-2.7781,-0.756,470.5515
"3565",6,3,0.0513,-1.1042,405.4883
"3566",4,3,-0.6873,-1.1042,348.3969
"3569",6,3,0.2577,1.1246,302.4765
"3570",7,4,0.649,1.1246,444.8136
"3571",3,1,-1.1351,-0.756,437.2989
"3572",2,1,-0.1797,1.1246,369.1367
"3573",2,1,0.028,-0.756,402.8069
"3574",4,3,-0.2809,-0.0918,385.4328
"3575",4,3,-0.7674,0.4836,372.3932
"3576",4,2,0.2141,-0.756,465.9936
"3577",3,2,-0.6862,-1.1042,383.0271
"3579",4,3,0.2599,-0.756,338.8676
"3580",4,3,0.0033,-0.756,340.5314
"3581",4,3,0.3798,-0.756,355.1143
"3584",5,2,0.1977,-0.756,328.7716
"3587",2,3,-0.1233,-0.756,418.8685
"3588",6,2,1.1916,-0.756,290.2103
"3589",5,3,0.1846,-0.756,381.407
"3591",2,3,-0.9155,-0.756,390.5972
"3592",5,2,-0.1576,-0.756,356.3406
"3594",4,3,-0.1098,-0.756,330.2599
"3595",4,3,-0.6577,1.1246,379.9866
"3596",5,3,0.5955,-0.756,514.7869
"3598",4,2,-0.7412,-1.1042,515.8573
"3599",4,3,2.9032,-0.756,477.9123
"3600",4,2,0.5084,-0.756,428.9384
"3601",4,2,-0.3071,0.6942,443.8164
"3602",6,3,-0.2788,-0.756,296.1769
"3603",5,3,-0.5593,-0.756,470.7322
"3604",4,3,-0.8524,-1.15,388.5085
"3608",5,3,-0.7072,-0.0918,352.4297
"3609",2,4,-1.7495,1.1246,420.503
"3610",5,3,-0.7668,-1.1042,341.5177
"3611",4,3,-0.4789,-0.756,322.9574
"3612",6,3,0.0823,0.6942,369.5483
"3613",7,2,0.6528,-0.756,505.5578
"3614",4,2,-0.1387,-0.756,422.0168
"3615",4,3,-0.2098,1.1246,503.0271
"3616",4,3,0.2719,-0.756,308.4024
"3617",4,2,0.252,-1.1042,407.1219
"3618",6,3,0.3091,-1.1042,367.8996
"3623",4,3,-0.4212,0.4014,385.6119
"3624",4,3,-0.2013,-0.756,301.0861
"3626",6,3,-0.0202,-0.756,355.5352
"3627",2,4,-0.6694,1.1246,362.0241
"3628",4,3,-0.5978,-0.756,389.6676
"3629",3,3,-0.3987,-1.1042,379.9327
"3630",4,3,0.3678,0.4417,346.4692
"3632",4,2,-0.1017,-0.756,329.9534
"3633",4,3,0.3732,-1.1042,381.724
"3635",6,3,0.0237,-0.756,417.6542
"3637",4,4,0.1492,1.1246,331.6273
"3638",4,3,0.0559,-0.039,373.404
"3640",6,2,0.2656,1.1246,472.7609
"3642",3,2,0.2418,0.6942,344.633
"3645",4,3,0.721,-0.756,317.2484
"3649",6,3,0.7167,-0.756,391.9794
"3650",7,3,0.1825,0.6942,350.284
"3651",3,4,-2.5094,-0.756,420.8931
"3652",4,2,0.0913,-0.756,356.1801
"3653",5,4,-0.3456,-0.756,346.9115
"3654",6,2,-0.4582,-0.756,466.0419
"3657",4,3,0.8123,-0.756,334.1961
"3659",4,2,0.5691,-1.1042,431.0319
"3660",4,3,-0.6818,-1.1042,359.5737
"3661",4,2,0.0907,-0.756,262.0581
"3662",4,3,-0.2286,-0.756,362.9496
"3664",4,3,-0.4619,0.6942,423.8215
"3665",4,3,-0.091,0.1368,362.6901
"3666",4,3,0.1836,-0.756,388.5187
"3667",3,2,-0.0882,-0.756,420.4354
"3668",4,4,-0.0995,-0.756,341.6298
"3669",2,4,-1.2069,0.6342,394.9186
"3670",4,3,-0.2673,-1.1042,382.2134
"3671",5,1,-0.5261,-0.756,473.4239
"3672",2,1,-3.3592,-1.7582,421.2432
"3673",6,4,0.6798,1.1246,431.9972
"3679",2,3,-0.2223,-0.756,291.0704
"3681",3,1,-2.8606,-0.756,478.4263
"3682",2,2,-0.9385,-0.756,395.5676
"3683",2,3,-0.5237,-0.756,449.1315
"3684",2,3,-0.7312,0.2485,304.0423
"3685",4,3,0.212,0.4836,333.2987
