Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
10/01/2025,5.6,5.75,5.775,5.6,"77,75M","-2,61%"
13/01/2025,5.525,5.5,5.55,5.475,"99,95M","-1,34%"
14/01/2025,5.4,5.425,5.575,5.4,"97,35M","-2,26%"
15/01/2025,5.75,5.475,5.825,5.45,"194,03M","6,48%"
16/01/2025,5.875,6.075,6.2,5.85,"204,36M","2,17%"
17/01/2025,5.875,5.8,6.05,5.75,"114,05M","0,00%"
20/01/2025,6.0,6.0,6.05,5.925,"84,34M","2,13%"
21/01/2025,6.05,6.1,6.175,6.025,"115,36M","0,83%"
22/01/2025,6.15,6.15,6.2,6.1,"117,93M","1,65%"
23/01/2025,6.175,6.2,6.3,6.175,"120,89M","0,41%"
24/01/2025,6.125,6.25,6.25,6.125,"96,16M","-0,81%"
30/01/2025,6.1,6.1,6.225,6.075,"101,40M","-0,41%"
31/01/2025,6.025,6.175,6.225,6.025,"107,86M","-1,23%"
03/02/2025,5.8,5.975,6.0,5.7,"182,18M","-3,73%"
04/02/2025,5.675,5.825,5.85,5.625,"121,87M","-2,16%"
05/02/2025,5.525,5.575,5.6,5.475,"112,10M","-2,64%"
